tconst	averageRating
tt0008389	5.6
tt0008394	6.7
tt0008395	7.2
tt0008402	5.0
tt0008411	6.0
tt0008416	6.1
tt0008431	6.1
tt0008442	7.5
tt0008443	6.7
tt0008458	6.6
tt0008476	5.8
tt0008489	6.5
tt0008491	5.1
tt0008496	5.7
tt0008498	6.4
tt0008499	6.2
tt0008502	1.8
tt0008519	5.7
tt0008526	8.7
tt0008535	6.3
tt0008536	6.9
tt0008539	5.4
tt0008541	5.4
tt0008543	6.7
tt0008544	7.0
tt0008549	6.1
tt0008550	6.3
tt0008551	5.0
tt0008558	5.1
tt0008560	5.3
tt0008561	6.3
tt0008562	4.3
tt0008565	6.3
tt0008571	6.7
tt0008579	6.0
tt0008608	6.9
tt0008623	7.0
tt0008634	6.2
tt0008638	3.3
tt0008650	4.8
tt0008651	4.5
tt0008652	6.2
tt0008658	5.0
tt0008662	5.4
tt0008663	7.4
tt0008672	6.2
tt0008679	4.8
tt0008687	6.2
tt0008696	6.8
tt0008698	6.0
tt0008706	6.0
tt0008710	6.7
tt0008720	5.6
tt0008723	6.7
tt0008725	6.0
tt0008730	6.4
tt0008735	6.0
tt0008742	7.0
tt0008745	4.6
tt0008753	6.8
tt0008764	5.8
tt0008775	6.5
tt0008784	6.0
tt0008786	6.7
tt0008787	6.2
tt0008797	6.3
tt0008804	4.7
tt0008806	4.9
tt0008807	6.7
tt0008808	5.3
tt0008810	5.2
tt0008817	1.3
tt0008821	2.6
tt0008822	6.0
tt0008825	5.3
tt0008826	5.6
tt0008827	5.9
tt0008832	5.6
tt0008836	5.2
tt0008843	6.0
tt0008854	5.5
tt0008855	5.9
tt0008865	6.9
tt0008876	8.2
tt0008879	7.3
tt0008882	7.1
tt0008891	7.0
tt0008892	5.9
tt0008918	6.3
tt0008919	6.2
tt0008923	6.6
tt0008930	6.1
tt0008933	6.8
tt0008939	8.4
tt0008947	2.1
tt0008950	6.1
tt0008951	5.3
tt0008952	7.2
tt0008955	9.0
tt0008978	5.0
tt0008979	7.0
tt0008983	4.6
tt0008984	7.2
tt0008990	6.9
tt0008998	7.4
tt0009001	6.3
tt0009014	5.9
tt0009017	6.5
tt0009020	6.7
tt0009026	6.4
tt0009046	5.6
tt0009047	6.7
tt0009051	6.6
tt0009062	6.2
tt0009063	6.8
tt0009079	7.0
tt0009086	5.4
tt0009092	6.0
tt0009096	6.0
tt0009104	6.9
tt0009109	6.4
tt0009128	6.7
tt0009130	7.0
tt0009131	2.1
tt0009133	6.9
tt0009136	6.5
tt0009137	7.3
tt0009142	6.2
tt0009145	5.8
tt0009150	6.4
tt0009153	6.0
tt0009176	7.0
tt0009185	5.9
tt0009193	5.8
tt0009204	6.7
tt0009205	7.0
tt0009209	6.5
tt0009212	5.8
tt0009220	6.2
tt0009233	5.4
tt0009240	5.9
tt0009241	5.2
tt0009247	4.8
tt0009249	4.0
tt0009252	6.1
tt0009257	6.0
tt0009273	6.6
tt0009278	7.0
tt0009279	5.4
tt0009289	7.1
tt0009302	6.6
tt0009304	5.1
tt0009305	6.6
tt0009306	6.8
tt0009309	6.5
tt0009322	4.7
tt0009325	5.7
tt0009326	6.5
tt0009334	6.6
tt0009356	5.3
tt0009358	6.2
tt0009359	5.5
tt0009369	5.9
tt0009376	6.4
tt0009400	6.8
tt0009405	6.6
tt0009406	5.8
tt0009415	7.0
tt0009416	4.8
tt0009419	6.4
tt0009420	6.5
tt0009423	6.1
tt0009425	6.7
tt0009431	6.3
tt0009436	6.9
tt0009440	6.5
tt0009445	7.1
tt0009454	6.6
tt0009470	6.7
tt0009475	4.4
tt0009480	6.3
tt0009483	6.9
tt0009492	7.0
tt0009494	4.5
tt0009523	6.8
tt0009527	6.8
tt0009544	7.1
tt0009546	5.7
tt0009547	7.0
tt0009549	7.1
tt0009550	7.0
tt0009551	6.7
tt0009559	6.1
tt0009560	6.1
tt0009561	6.0
tt0009568	6.9
tt0009573	6.1
tt0009578	1.0
tt0009580	3.9
tt0009587	5.0
tt0009588	4.0
tt0009596	5.7
tt0009600	5.2
tt0009608	5.2
tt0009610	6.7
tt0009611	7.3
tt0009619	6.1
tt0009622	5.1
tt0009629	5.5
tt0009630	7.3
tt0009637	6.6
tt0009650	6.0
tt0009651	6.8
tt0009652	6.7
tt0009666	7.0
tt0009677	6.8
tt0009682	5.7
tt0009690	4.4
tt0009694	6.6
tt0009696	4.2
tt0009700	5.0
tt0009701	7.0
tt0009702	5.8
tt0009721	6.4
tt0009737	6.1
tt0009741	5.0
tt0009750	4.7
tt0009754	5.1
tt0009757	6.9
tt0009765	5.1
tt0009766	5.5
tt0009771	5.3
tt0009789	6.1
tt0009790	5.8
tt0009796	6.8
tt0009811	4.5
tt0009825	6.2
tt0009827	5.5
tt0009829	5.2
tt0009833	5.1
tt0009837	4.2
tt0009842	6.7
tt0009852	7.0
tt0009853	5.5
tt0009857	5.0
tt0009858	6.4
tt0009859	5.0
tt0009861	1.8
tt0009878	7.0
tt0009879	7.0
tt0009890	5.1
tt0009892	5.9
tt0009893	7.2
tt0009894	7.1
tt0009896	4.4
tt0009900	6.3
tt0009903	4.1
tt0009905	7.1
tt0009915	7.1
tt0009916	6.1
tt0009918	7.6
tt0009922	5.0
tt0009936	6.0
tt0009937	7.0
tt0009950	5.4
tt0009960	6.6
tt0009968	7.4
tt0009969	6.8
tt0009972	6.0
tt0009975	6.4
tt0009976	5.7
tt0009987	6.6
tt0009989	6.7
tt0009991	6.1
tt0010002	5.0
tt0010008	8.3
tt0010010	7.2
tt0010032	6.7
tt0010040	6.5
tt0010045	5.0
tt0010049	8.1
tt0010058	6.9
tt0010059	7.0
tt0010060	6.0
tt0010061	7.0
tt0010071	6.7
tt0010102	5.1
tt0010103	5.4
tt0010108	6.8
tt0010112	6.1
tt0010113	6.2
tt0010114	5.3
tt0010119	4.2
tt0010131	6.3
tt0010133	4.2
tt0010134	4.7
tt0010137	5.4
tt0010158	5.8
tt0010162	6.6
tt0010168	5.4
tt0010176	6.3
tt0010178	6.6
tt0010180	6.9
tt0010183	5.3
tt0010186	4.6
tt0010189	6.1
tt0010190	6.5
tt0010193	5.8
tt0010195	6.8
tt0010198	4.4
tt0010203	7.1
tt0010206	6.8
tt0010208	5.6
tt0010209	6.2
tt0010214	4.4
tt0010215	6.6
tt0010219	3.9
tt0010227	5.7
tt0010229	5.8
tt0010244	7.2
tt0010247	7.3
tt0010248	6.2
tt0010249	5.7
tt0010255	6.2
tt0010259	6.8
tt0010265	5.6
tt0010267	6.7
tt0010276	5.0
tt0010281	6.9
tt0010284	5.6
tt0010292	6.8
tt0010298	7.0
tt0010307	7.7
tt0010313	5.5
tt0010315	6.8
tt0010316	6.6
tt0010319	1.0
tt0010323	8.1
tt0010325	5.7
tt0010330	7.1
tt0010331	6.7
tt0010337	5.0
tt0010352	5.2
tt0010356	5.7
tt0010357	5.9
tt0010358	6.5
tt0010375	6.8
tt0010386	6.9
tt0010402	6.5
tt0010404	6.4
tt0010408	2.9
tt0010412	5.2
tt0010418	7.0
tt0010419	6.6
tt0010422	5.7
tt0010428	5.0
tt0010432	1.0
tt0010438	4.7
tt0010444	6.7
tt0010446	6.2
tt0010456	6.0
tt0010466	6.7
tt0010469	5.7
tt0010470	5.0
tt0010476	5.9
tt0010483	6.7
tt0010484	6.9
tt0010490	6.7
tt0010495	4.8
tt0010497	5.8
tt0010499	6.2
tt0010501	6.0
tt0010502	6.4
tt0010505	6.0
tt0010507	6.7
tt0010515	5.8
tt0010533	6.2
tt0010534	6.0
tt0010544	4.1
tt0010548	7.1
tt0010558	5.1
tt0010559	6.4
tt0010562	6.9
tt0010566	6.8
tt0010570	6.7
tt0010596	7.6
tt0010598	6.6
tt0010600	7.4
tt0010612	7.1
tt0010616	6.9
tt0010622	6.7
tt0010628	4.7
tt0010629	4.1
tt0010630	5.3
tt0010635	5.2
tt0010640	4.0
tt0010641	6.8
tt0010651	6.7
tt0010654	4.6
tt0010662	5.0
tt0010668	5.1
tt0010674	6.5
tt0010680	6.3
tt0010690	5.9
tt0010694	7.1
tt0010703	6.3
tt0010715	6.1
tt0010719	7.0
tt0010726	6.7
tt0010729	6.3
tt0010733	7.0
tt0010754	6.6
tt0010755	6.9
tt0010764	6.9
tt0010766	7.1
tt0010767	6.9
tt0010781	3.2
tt0010791	6.5
tt0010793	6.5
tt0010795	6.9
tt0010799	6.9
tt0010806	7.0
tt0010813	7.8
tt0010821	6.6
tt0010822	6.2
tt0010844	6.6
tt0010847	6.8
tt0010849	6.4
tt0010853	6.9
tt0010859	6.1
tt0010871	6.0
tt0010879	6.9
tt0010890	6.5
tt0010892	6.3
tt0010900	2.1
tt0010905	8.4
tt0010915	6.3
tt0010920	6.9
tt0010925	5.6
tt0010941	6.2
tt0010942	4.8
tt0010943	3.4
tt0010947	7.0
tt0010949	1.0
tt0010950	5.3
tt0010953	6.3
tt0010960	4.0
tt0010962	6.5
